year,date,tournament,h_team,a_team,h_elo,a_elo,h_score,a_score,location,neutral,,,,,,,,,,,,
2018,March 24,Friendly,Israel,Romania,1534,1688,1,2,in Israel,No,,,,,,,,,,,,No
2018,March 24,Friendly,Ivory Coast,Togo,1603,1383,2,2,in France,Yes,,,,,,,,,,,,Yes
2018,March 24,Friendly,Kenya,Comoros,1397,1041,2,2,in Morocco,Yes,,,,,,,,,,,,Yes
2018,March 24,Friendly,Kosovo,Madagascar,1370,1368,1,0,in France,Yes,,,,,,,,,,,,Yes
2018,March 24,Friendly,Mauritania,Guinea,1302,1472,2,0,in Mauritania,No,,,,,,,,,,,,No
2018,March 24,Friendly,Northern Ireland,South Korea,1674,1759,2,1,in Northern Ireland,No,,,,,,,,,,,,No
2018,March 24,Friendly tournament,Syria,Qatar,1610,1487,2,2,in Iraq,Yes,,,,,,,,,,,,Yes
2018,March 24,Friendly,Sweden,Chile,1818,1860,1,2,in Sweden,No,,,,,,,,,,,,No
2018,March 24,Friendly,Uganda,São Tomé and Príncipe,1461,1078,3,1,in Uganda,No,,,,,,,,,,,,No
2018,March 24,Friendly tournament,Zambia,South Africa,1496,1534,0,2,in Zambia,No,,,,,,,,,,,,No
2018,March 25,Friendly,Barbados,Bermuda,1137,1191,0,0,in Barbados,No,,,,,,,,,,,,No
2018,March 25,Friendly,Congo,Guinea-Bissau,1382,1288,2,0,in France,Yes,,,,,,,,,,,,Yes
2018,March 25,Friendly,Dominican Republic,Saint Kitts and Nevis,1250,1255,2,1,in the Dominican Republic,No,,,,,,,,,,,,No
2018,March 25,Friendly,Faroe Islands,Liechtenstein,1282,1154,3,0,in Spain,Yes,,,,,,,,,,,,Yes
2018,March 25,King's Cup,United Arab Emirates,Gabon,1551,1419,0,1,in Thailand,Yes,,,,,,,,,,,,Yes
2018,March 25,Friendly,Gibraltar,Latvia,1079,1358,1,0,in Gibraltar,No,,,,,,,,,,,,No
2018,March 25,Friendly,Jamaica,Antigua and Barbuda,1570,1210,1,1,in Jamaica,No,,,,,,,,,,,,No
2018,March 25,Friendly,Kuwait,Cameroon,1415,1645,1,3,in Kuwait,No,,,,,,,,,,,,No
2018,March 25,Friendly,Martinique,Trinidad and Tobago,1425,1427,0,0,in Martinique,No,,,,,,,,,,,,No
2018,March 25,Friendly,Nicaragua,Cuba,1279,1296,3,3,in Nicaragua,No,,,,,,,,,,,,No
2018,March 25,King's Cup,Thailand,Slovakia,1402,1756,2,3,in Thailand,No,,,,,,,,,,,,No
2018,March 26,Friendly,Albania,Norway,1609,1601,0,1,in Albania,No,,,,,,,,,,,,No
2018,March 26,Friendly,Bulgaria,Kazakhstan,1610,1358,2,1,in Hungary,Yes,,,,,,,,,,,,Yes
2018,March 26,Friendly tournament,China,Czechia,1542,1700,1,4,in China,No,,,,,,,,,,,,No
2018,March 26,Friendly,Curaçao,Bolivia,1276,1699,1,0,in Curaçao,No,,,,,,,,,,,,No
2018,March 26,Friendly,Finland,Malta,1600,1206,5,0,in Turkey,Yes,,,,,,,,,,,,Yes
2018,March 26,Friendly,Portugal,Netherlands,1997,1883,0,3,in Switzerland,Yes,,,,,,,,,,,,Yes
2018,March 26,Friendly tournament,Uruguay,Wales,1879,1786,1,0,in China,Yes,,,,,,,,,,,,Yes
2018,March 27,Asian Cup qualifier,Afghanistan,Cambodia,1150,823,2,1,in Tajikistan,Yes,,,,,,,,,,,,Yes
2018,March 27,Friendly,Armenia,Lithuania,1479,1397,0,1,in Armenia,No,,,,,,,,,,,,No
2018,March 27,Friendly,Colombia,Australia,1940,1707,0,0,in England,Yes,,,,,,,,,,,,Yes
2018,March 27,Friendly,Macedonia,Azerbaijan,1521,1388,1,1,in Turkey,Yes,,,,,,,,,,,,Yes
2018,March 27,Asian Cup qualifier,Bahrain,Turkmenistan,1400,1252,4,0,in Bahrain,No,,,,,,,,,,,,No
